a,29866
have,28480
i,25617
the,24959
?,20610
with,19288
do,14700
no,14698
.,14624
in,13805
on,13472
yes,12036
and,11763
|,|,11043
that,9385
one,9341
you,8964
of,7539
guy,6596
man,6255
white,5954
red,5878
shirt,5254
to,5146
it,5048
n't,4632
is,4501
blue,3936
black,3898
woman,3843
not,3439
again,3429
two,3198
green,2892
girl,2665
nope,2477
front,2411
bike,2408
ok,2397
cake,2345
lady,2279
orange,2228
holding,2172
laptop,2091
truck,2061
next,1969
!,1914
dog,1890
at,1833
yellow,1830
's,1814
too,1729
bus,1695
pink,1632
an,1617
sitting,1588
this,1559
same,1547
picture,1532
2,1526
me,1524
dont,1486
about,1476
my,1430
car,1424
done,1396
his,1380
looking,1317
wearing,1294
people,1283
her,1281
time,1280
for,1269
table,1263
last,1253
okay,1252
pizza,1215
boy,1214
got,1194
what,1192
couch,1148
umbrella,1143
bench,1092
all,1079
back,1079
phone,1050
kid,1049
cat,1032
motorcycle,1032
left,1002
standing,996
see,994
top,989
also,988
hat,972
elephant,970
plate,969
cup,965
right,930
has,929
board,923
3,920
there,920
like,917
are,915
brown,913
little,873
baby,857
behind,831
kids,830
eating,822
women,822
him,820
dress,795
bowl,772
but,763
suitcase,758
photo,751
train,748
striped,743
person,739
food,736
how,726
three,717
tv,715
bear,713
he,709
any,708
highlighted,707
up,705
yep,696
hot,694
men,693
playing,675
background,651
hand,648
'm,644
something,635
by,633
guys,629
fridge,629
other,624
old,614
helmet,608
so,606
looks,601
different,595
then,593
or,584
laying,583
gla*s,583
coffee,580
camera,579
out,577
mine,568
),555
bed,552
think,550
chair,550
big,543
hi,541
dogs,535
more,522
hair,520
as,516
donut,511
down,509
we,508
side,505
kitchen,504
child,501
yeah,498
over,492
from,492
silver,490
surfboard,490
common,489
...,488
suit,483
cutting,483
purple,479
sorry,476
plaid,474
wii,469
small,455
plates,452
riding,450
now,447
oven,446
gla*ses,445
page,444
your,444
pic,443
grey,438
jacket,436
smiling,432
candles,430
room,430
large,424
them,422
here,421
remote,420
open,419
some,419
dark,416
yours,410
h**lo,404
blonde,402
vest,401
first,401
questions,398
teddy,395
lol,385
good,385
talking,383
,383
head,377
van,376
she,373
just,366
asian,365
reading,360
taking,358
putting,358
gray,345
did,344
(,343
submit,343
chocolate,343
go,343
light,342
:,342
does,340
shorts,337
tank,335
well,333
boat,332
fries,330
wine,330
've,327
water,327
if,326
its,325
rice,325
-,325
long,319
mirror,318
be,317
into,315
backpack,315
t,311
donuts,311
am,307
4,300
another,300
older,299
can,299
image,297
beer,297
book,296
ready,295
soccer,295
sign,293
tan,293
around,292
oh,290
window,289
beside,288
ladies,285
police,285
was,280
near,279
skateboard,278
parking,277
box,274
parked,273
banana,273
screen,270
im,269
yup,269
lap,267
laptops,265
either,265
wall,264
trunk,264
thats,262
sleeping,256
great,256
mug,255
bananas,255
still,253
mouse,252
else,251
panda,250
hotdog,250
statue,250
apron,249
facing,247
fork,246
both,245
carrying,244
1,240
pants,239
stuffed,237
drink,236
scarf,235
middle,232
salad,232
thing,231
cream,231
fruit,231
jeans,230
someone,229
only,229
shirtless,228
toddler,228
wood,228
thanks,227
round,227
between,226
frisbee,225
being,224
submitted,223
cell,223
pulling,223
cool,222
bikini,222
army,220
shirts,219
outside,217
going,217
elephants,216
sandwich,215
bottle,213
they,211
writing,211
ok.,210
luggage,209
says,208
off,208
cheese,207
floor,206
tie,204
gas,204
straw,204
bikes,204
5,203
walking,202
square,202
windows,201
skirt,201
touching,200
stripes,197
stuff,197
leather,193
girls,193
leaning,190
handstand,189
lying,188
wait,187
knife,187
station,186
half,186
their,185
road,184
couple,183
'',182
computer,181
birthday,181
ice,180
tray,178
monk,176
four,174
``,173
arm,173
young,173
shark,172
corner,172
dish,172
had,171
game,171
bears,171
w,170
m**fin,170
hands,168
doing,168
beard,168
anything,167
watching,166
cap,165
beach,165
need,164
chairs,162
seat,162
wooden,162
sofa,161
gra*s,161
godiva,161
keyboard,161
pictures,159
set,158
mickey,158
before,157
baseball,157
face,157
those,155
maybe,154
petting,154
u,153
bowls,152
stripe,150
furniture,149
sure,149
carrots,149
blond,148
tow,147
bunch,147
k,146
lot,146
group,146
surf,146
bag,145
close,145
flag,143
dude,142
colored,142
coat,141
tshirt,141
military,140
flowers,139
empty,138
&,138
bread,138
inside,137
slice,137
making,137
cop,137
though,136
pot,135
cleaning,135
beets,135
waiting,134
color,134
short,133
mouth,131
camo,131
lit,130
bald,130
stop,130
haha,130
subway,129
schepps,129
door,127
coke,127
ikea,127
salvation,126
cut,126
kayak,125
each,125
polka,125
vehicle,124
us,124
blurry,124
painting,123
shoes,123
reaching,123
showing,122
basket,121
others,119
mercedes,118
dishes,118
'll,116
while,115
end,115
napkin,115
ground,115
feet,115
cars,114
alright,113
stand,113
toy,113
socks,113
moving,112
know,112
tree,112
look,111
dolls,111
plant,110
anymore,110
pointing,110
feeding,110
booth,110
will,109
ones,109
submitting,109
officer,109
sleeve,108
bottles,107
trucks,107
case,107
life,106
pie,106
lights,105
sweater,105
above,104
sauce,104
boards,103
meter,103
away,103
clear,103
street,103
mom,103
counter,103
're,102
bicycle,102
kind,102
grill,102
refresh,102
animal,102
dot,102
beige,101
sleeves,101
weird,101
wires,101
bright,100
hey,100
bottom,100
third,100
under,100
b**ton,99
working,99
cane,99
strawberry,99
crowd,98
let,98
logo,98
getting,98
veggies,97
bearded,97
ball,96
uniform,96
rider,96
tea,96
lamp,95
vase,95
carrot,95
glove,94
say,92
soup,92
sungla*ses,92
living,91
wheels,91
hit,91
kill,91
towing,90
piece,90
full,89
stone,89
which,89
line,89
paw,89
stripped,88
using,87
pan,87
drinking,87
turn,87
ask,86
tail,86
mean,85
should,85
phones,84
finally,84
dirt,84
very,83
restaurant,83
spoon,83
oranges,83
shadow,82
try,82
finished,82
second,82
park,82
refrigerator,82
california,82
floral,82
m10,81
house,81
question,81
container,80
infront,80
dad,80
traffic,80
legs,79
loading,79
tomato,79
books,79
blanket,79
vegetables,78
ca,78
bending,78
bmw,78
haired,77
boys,76
huge,76
shaking,76
apple,76
peace,76
pickup,75
things,75
hoodie,75
star,75
view,75
containers,75
surfing,74
cycle,74
gloves,74
shot,73
cups,73
were,73
dressed,73
ribbon,73
teapot,72
fedex,72
fireplace,71
wet,71
sugar,71
nutella,71
guess,71
through,70
jumping,70
opening,70
children,70
helmets,70
xp,70
scooter,70
wetsuit,70
thank,70
yea,69
;,69
don,68
pillows,68
photos,68
powdered,68
ahead,68
platform,68
jordan,67
described,67
glazed,67
greens,67
suits,67
costume,67
letters,67
biker,67
boxes,67
climbing,66
tell,66
written,66
sort,66
uniforms,66
navy,66
bent,66
eaten,66
towards,66
coming,66
jb,66
missing,66
